model_group,purpose,i,j,circuit_index,counts_json,shots_observed
kernel_svc,test_kernel,3,3,188,"{""0000"": 218, ""1000"": 1, ""0001"": 37}",256
kernel_svc,test_kernel,3,4,189,"{""0000"": 241, ""0001"": 9, ""1001"": 2, ""1000"": 2, ""0010"": 1, ""0100"": 1}",256
kernel_svc,test_kernel,3,5,190,"{""0000"": 208, ""1000"": 31, ""0001"": 14, ""1001"": 1, ""0100"": 2}",256
kernel_svc,test_kernel,3,6,191,"{""0001"": 16, ""0000"": 232, ""1000"": 7, ""0010"": 1}",256
kernel_svc,test_kernel,3,7,192,"{""0000"": 201, ""0001"": 24, ""1000"": 24, ""0100"": 3, ""1001"": 3, ""1100"": 1}",256
kernel_svc,test_kernel,3,8,193,"{""0000"": 195, ""1000"": 44, ""0001"": 12, ""0010"": 1, ""1001"": 3, ""0100"": 1}",256
kernel_svc,test_kernel,3,9,194,"{""0000"": 219, ""0001"": 20, ""1000"": 16, ""0010"": 1}",256
kernel_svc,test_kernel,4,0,195,"{""0000"": 243, ""0001"": 12, ""1000"": 1}",256
kernel_svc,test_kernel,4,1,196,"{""0000"": 200, ""0100"": 20, ""0001"": 15, ""1000"": 17, ""0101"": 2, ""1100"": 1, ""1001"": 1}",256
kernel_svc,test_kernel,4,2,197,"{""0001"": 16, ""0000"": 179, ""1000"": 46, ""0100"": 3, ""1001"": 5, ""1100"": 4, ""0010"": 1, ""1010"": 1, ""0101"": 1}",256
kernel_svc,test_kernel,4,3,198,"{""0000"": 233, ""1000"": 8, ""0001"": 15}",256
kernel_svc,test_kernel,4,4,199,"{""0000"": 204, ""1000"": 26, ""0001"": 20, ""1001"": 2, ""0100"": 3, ""0010"": 1}",256
kernel_svc,test_kernel,4,5,200,"{""0001"": 27, ""0000"": 220, ""1000"": 2, ""0100"": 2, ""0010"": 3, ""0011"": 1, ""0101"": 1}",256
kernel_svc,test_kernel,4,6,201,"{""0000"": 201, ""1000"": 31, ""0100"": 6, ""1001"": 3, ""0001"": 15}",256
kernel_svc,test_kernel,4,7,202,"{""0000"": 233, ""0001"": 15, ""1000"": 5, ""0010"": 1, ""0100"": 1, ""0101"": 1}",256
kernel_svc,test_kernel,4,8,203,"{""0000"": 205, ""0001"": 34, ""1000"": 12, ""1001"": 3, ""0010"": 2}",256
kernel_svc,test_kernel,4,9,204,"{""0000"": 222, ""0001"": 32, ""0010"": 1, ""0100"": 1}",256
kernel_svc,test_kernel,5,0,205,"{""0000"": 173, ""1000"": 54, ""0001"": 19, ""1001"": 7, ""0100"": 2, ""0010"": 1}",256
kernel_svc,test_kernel,5,1,206,"{""0000"": 204, ""1000"": 19, ""0001"": 25, ""0100"": 4, ""1001"": 3, ""0010"": 1}",256
kernel_svc,test_kernel,5,2,207,"{""0000"": 236, ""0001"": 19, ""1000"": 1}",256
kernel_svc,test_kernel,5,3,208,"{""0000"": 207, ""1000"": 13, ""0001"": 26, ""0010"": 2, ""0100"": 4, ""1001"": 2, ""1100"": 1, ""0101"": 1}",256
kernel_svc,test_kernel,5,4,209,"{""0000"": 239, ""0001"": 14, ""1000"": 3}",256
kernel_svc,test_kernel,5,5,210,"{""0000"": 195, ""1001"": 5, ""1000"": 38, ""0001"": 15, ""1100"": 1, ""0100"": 1, ""0010"": 1}",256
kernel_svc,test_kernel,5,6,211,"{""0000"": 237, ""0001"": 17, ""0010"": 1, ""0100"": 1}",256
kernel_svc,test_kernel,5,7,212,"{""0000"": 165, ""0001"": 17, ""1000"": 59, ""0100"": 2, ""1100"": 3, ""1001"": 9, ""0011"": 1}",256
kernel_svc,test_kernel,5,8,213,"{""0000"": 158, ""1000"": 77, ""0001"": 12, ""0100"": 4, ""1001"": 3, ""0010"": 1, ""0101"": 1}",256
